Address,Status,Transcript
"Harrison St, APT 1121, San Francisco, CA 94105",Inconclusive,"""Hi Drew, this is Oscar. We just spoke over the phone about the 1 bedroom for rent at Harrison St. Would you be able to show us the place at 4:30 tomorrow?"" V
""Yes, 4:30 tomorrow works. I'll meet you at the lobby. Please note that a contractor just installed new flooring for the bedroom but he needs to come back to install new baseboard. Regards, "" L
""Hold on, before we confirm the appointment I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""Yes"" L
""Great! And would we need a certain income to qualify?"" V
""Your income should cover the rent balance not covered by Section 8 plus your living expenses. I also would ask to see a bank account balance that covers 12 months of rent just in case. Credit report is also required."" L
""Actually a bank account balance that equals to 6 months of rent or more"" V
""I see. And I would need to have that much in my bank account even though my voucher is supposed to help with the rent every month?"" V
""This is my practice over the past 11 years. You can submit an application with a copy of your bank statement as is. I have several viewing appointments lined up this week and next week. I'll be collecting all incoming applications and make a decision from there. Thanks, "" L"
"California St, San Francisco, CA 94115",Inconclusive,"""Hi Sam, this is Oscar. We just spoke over the phone about the 1 bedroom for rent at California St. You said you could show it at around 6:15 correct?"" V
""Yes"" L
""Okay my wife is still trying to find out if she can leave work early to make it. Before we check the place out though I wanted to ask if you know if we could use a Section 8 voucher here?"" V
""I'm not sure, but I have to look into how that works"" L
""Do you think you would be able to find out? We'd prefer to know if the owner takes vouchers or not before we come out to see the place"" V
""Since I already have two pending applications, let me see what happens to those before you come out. I don't want to waste your time."" L
""Okay I see. Well keep me posted in that case"" V
""Hi Sam, we ended up renting to one of the applicants we had. Good luck with your search."" L"
"Magnolia St, # 1, San Francisco, CA 94123",Inconclusive,"""Hi Robin, this is Robin. We just spoke over the phone about the 1 bedroom for rent at Magnolia St. You said you would be able to do a showing at noon tomorrow, correct?"" L
""Hi would I still be able to view that apartment today?"" V
""Okay will do. Before I confirm a showing with though do you know if I would be able to use a Section 8 voucher for that apartment?"" V
""Yes we consider all tenants"" L
""Okay fantastic! And would we need to make a certain income to qualify?"" V"
"Green St, San Francisco, CA 94133",No Claim,"""Hi is this Alex? My name is Oscar and I was told to reach out to you about scheduling a viewing of the 1 bedroom apartment at Green St"" V
""Hi, can you provide some dates/times you are available for viewing? In the meantime please take a look at the 3D tour below. Thank you"" L
""After 4 is probably going to be best with my work schedule. Maybe tomorrow or Wednesday?"" L
""Before we confirm a showing though I also wanted to check with you to see if I would be able to use a Section 8 voucher here?"" V
""Yes, we do accept Section 8 vouchers"" L
""Fantastic! Would I need a certain income to qualify?"" V
""Sorry for the late response, but since you are using a Section 8 voucher, there are no income requirements, but we do check if you have a good credit history"" L"
"8th St, San Francisco, CA 94103",Inconclusive,"""Hi Morgan, this is Morgan. We just spoke over the phone about the apartment for rent. The address is 428 8th St, correct?"" L
""Hi Morgan - good speaking with you. Correct, the address is 428 8th St."" L
""Great. Let me know when it'll be ready to view. Before we come see the place though I wanted to ask if we would be able to use a Section 8 voucher there?"" V"
"Mission St, APT 6, San Francisco, CA 94110",Inconclusive,"""Hi, It's Shane"" V
""Hi Shane I'm Taylor. Let me just check with my wife and get back to you. The address is Alhambra St, Unit 12 correct?"" L
""That's not my listing"" V
""Sorry I was looking at a couple of different ads and got confused. Yours is Mission St, right?"" V
""You said you could do a showing tomorrow at noon?"" V
""Yes I can show you at noon Mission"" L
""Okay my wife is still waiting to hear back if she can get out of work then. But before we confirm I also wanted to ask to see if we could use a Section 8 voucher here?"" V
""Hi Shane just following up about my previous question?"" V
""Hi yes of course you can. I got two sets of applications on this one night. I'll circle back if they fall through and let you know if I have anything else that could work for you."" L"
"Alhambra St, Unit 12, San Francisco, CA 94123",Inconclusive,
"Jackson St, APT 709, San Francisco, CA 94109",Inconclusive,"""HI Andy, I'm interested in the 2 bed at Jackson St, APT 709 for $4,495. Does utilities come included in the rent?"" V
""NO_TRANSCRIPT"" L"
"Innes Ct, # 2, San Francisco, CA 94124",No Claim,"""Hi Steven, I'm interested in the 2 bed at Innes Ct, #2 for $3995, does utilities come included in the rent?"" V
""All utilities are included except for electric. But it's cheap, ~$50 a month."" L
""is there laundry as well?"" V
""Yep, in unit washer and dryer."" L
""Here is my SF place: What is your target move-in date and ideal lease length? What area are you coming from?"" L
""yes I also have a Section 8 voucher would that work here?"" V
""I'm not sure how those work, but I'm open to the idea."" L
""ok thank you and is there an income requirement?"" V
""The place is $3995 unfurnished. It is another $500 a month to have it fully furnished with absolutely everything, including the TV and surround sound. No specific income requirement other than demonstrating the ability to be able to afford the rent every month."" L"
"2nd St, APT 314, San Francisco, CA 94107",No Claim,"""Hi Jamie, this is Jamie. Let me know when it might be possible to arrange a viewing of the apartment at 2nd St."" L
""When are you seeking to start a lease?"" L
""Do you have pets?"" L
""Could you view Wednesday or Thursday morning at 11:30 AM?"" L
""I'm hoping to start a lease as soon as possible. No pets."" V
""Let me check with my wife to see which of those times she'd prefer. Before we confirm a viewing though, do you know if we would be able to use a Section 8 voucher here for this apartment?"" V
""I was waiting to hear back from you but realized you might be waiting for me. All applications are considered. My schedule today is now booked - could do Thursday at 2 PM."" L
""Okay let me check to see if Thursday works for us... Do you know if we would need to make a certain income to qualify?"" V
""I would need to check with my broker for Section 8... your advocate may be able to answer that better for you."" L"
"Van Ness Ave, UNIT 806, San Francisco, CA 94102",Inconclusive,"""Hi this is Oscar. Sorry I didn't catch your name when we spoke over the phone about the 1 bedroom apartment for rent at 750 Van Ness Ave. You said you would be able to show the place tomorrow at 2, correct?"" V
""Okay. I'm still waiting to hear back from my wife to see if that works. Before we confirm though I also wanted to ask if I would be able to use a Section 8 voucher here?"" V
""Yes"" L"
"Berry St, UNIT 112, San Francisco, CA 94158",Pending,"""Hi Cameron, this is Oscar. We just spoke over the phone about the 1 bedroom for rent at 300 Berry St. What time on Sunday would be best for us to come by to view the place?"" V
""Does 3 pm work?"" V
""Let me check with my wife and see if that works for her. Before we confirm though I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""Hi Cameron, sorry didn't see it until now. I don't think so. I will look further into the requirement and pricing and let you know."" L
""So you don't think we could use our Section 8 here then?"" V
""Not at the offered price right now."" L
""If I adjust down the price, I can inform you."" L"
"Jules Ave, San Francisco, CA 94112",No Claim,"""Hi Julie, this is Drew. We just spoke over the phone about the 1 bedroom at Jules Ave. You said you might be able to do a showing tomorrow at 12, right?"" L
""Yes"" V
""Okay just wanted to double check. Before we confirm a showing though I also wanted to ask to see if I would be able to use a Section 8 voucher here?"" V
""I would have to check with the owner but I do think it is fine. Please provide all documentation on your Section 8 if you like it."" L
""Okay great! And would I need to make a certain income to qualify?"" V
""You will need a credit score of 600 and above and 2.5 times the rent as income to qualify. So around 6k a month."" L
""Okay I see. And how would that work with my voucher?"" V
""We include what your voucher pays as income."" L
""Is this a for life voucher?"" V"
"43rd Ave, San Francisco, CA 94116",Inconclusive,
"Retiro Way, #5, San Francisco, CA 94123",No Claim,"""Hi Dan, this is Oscar. We just spoke over the phone about the studio at Retiro Way. You said you'd be able to do a showing tomorrow at 12:30, correct?"" V
""Yes"" L
""Okay I'm still waiting on confirmation that I can make it then. But before we do confirm I also wanted to ask if I would be able to use a Section 8 voucher here?"" V
""Yes"" L
""Fantastic! And would I need to make a certain income to qualify?"" V
""I'm not sure how that works for Section 8"" L
""Do you think you'd be able to find out?"" V
""The voucher goes with your income. You need to gross 3 times the rent"" L"
"Grafton Ave, San Francisco, CA 94112",Inconclusive,"""Hi is this Mandy? My name is Oscar and I was interested in the ad I saw for the studio for rent at Grafton Ave. Is it available for viewing?"" V
""Hi Oscar yes it is! When are you available to take a look?"" L
""Later in the afternoons is usually better, but it depends on what works for you. Do you have any times tomorrow?"" L
""Yeah tomorrow, around 4 works even 5, which one is better for you?"" V
""I think probably 5 would be better. Before we actually confirm the appointment though, I wanted to ask if I would be able to use a Section 8 voucher here?"" V
""Hi Oscar, we just accepted someone else, thank you for your interest though!"" L"
"25th St, #14, San Francisco, CA 94110",Inconclusive,"""I'm sorry I'm unavailable. If it's regarding a rental, please email me through the listing with your name & cell #. Ty!"" L
""I'm sorry I can't talk right now. Could you please text me or email me through the listing. Thank you, "" L
""Hi my name is Oscar and I was just reaching out about the ad I saw for the studio for 1,795 at 3465 25th St. Is it available for viewing?"" V
""Hi Morgan, this is Oscar. We just spoke about the studio at 3465 25th St. So I double checked and it looks like my income last year was 65,050. But I also have a section 8 voucher to help pay for the rent as well. Would I be able to qualify?"" V"
"California St, APT 506, San Francisco, CA 94108",Inconclusive,"""Hi Taylor. How about 4:30 on Thursday"" L
""Is this Taylor for the 1177 California St apartment?"" L
""Yes"" V
""Okay just checking I wasn't sure. I think that time should work for me. But before we confirm the appointment though I wanted to ask to see if I would be able to use my section 8 voucher here?"" V
""Yes so sorry forgot to give you the address"" L
""So I would be able to use my voucher here then?"" V
""Voucher for what"" L
""Ahh sorry missed the above, I am not sure"" L
""I have a section 8 voucher that I was hoping to use to help pay for the rent. Do you accept those here?"" V
""It is up to the individual owner"" L
""Do you think you'd be able to find out if this owner takes vouchers before I come see the place?"" V
""Hi just following up about my previous question -- do you know if this landlord takes section 8?"" V
""He has not gotten back to me. You will have to apply though using our standard application"" L
""Okay I see. Before I apply though I'd prefer if I could confirm if I would be able to use my voucher or not."" V
""Hi I'm still interested in that apartment. Just wondering if you had any update about if the owner takes vouchers?"" V
""Good morning Taylor. I am having a phone call with the owner later this morning. We have another applicant ahead of you but in case that doesn't work out I will let you know"" L
""okay keep me posted please"" V
""Were you able to ask the owner about using section 8 here?"" V
""Hi Taylor. The application from last week was approved. Sorry about that. We have been super swamped I forgot to text you yesterday. Good luck in your search"" L"
"Downey St, UNIT A, San Francisco, CA 94117",Inconclusive,"""Hi Jordan, this is Jordan. We just spoke over the phone about 200 Downey St, Unit A. You said you could show it around 8:30 tomorrow morning right?"" L
""Yes, 8:30am tomorrow is great"" V
""Okay great. Before we actually confirm the appointment though, I wanted to ask if I would be able to use a Section 8 voucher here?"" V
""I think so. I don't know what those restrictions are, but I'm guessing it's fine"" L
""Awesome! And would I need to make a certain income to qualify?"" V
""It will be the same requirements as anyone else. 2.5 times rent for income, 650+ credit score and 2 yr good rental reference."" L
""Okay and how would the income requirement work since I have a voucher?"" V
""I would have to look into how that works, I'm sorry I don't have the answer on hand."" L
""Okay let me know when you're able to find out please"" V
""Do you still want to see the unit tomorrow morning?"" L
""I think it would probably be better for me to wait until I know if I'm going to be able to qualify before I come to see the place"" V
""Okay, I'm so sorry that I don't have that information for you right now. I will try and get it as soon as possible."" L
""Hi just wondering if you had any update?"" V
""Not as yet, I have sent an email request in with the question."" L
""Okay. Let me know when you are able to find out please"" V"
"Sacramento St, Unit 11, San Francisco, CA 94109",Inconclusive,"""Great talking to you, Casey! You can use the scheduling link above or just let me know when you'd like to come by and I can book for you. Showings are available daily between 8am-8pm, last appointment of the day is 7:30pm. Feel free to reach out here with any questions!"" L
""Thanks for your help! I'm still waiting to hear back from my boss about which day would be best for me to come for a showing. Before we confirm though, I also wanted to ask if you know if I would be able to use a Section 8 voucher for this apartment?"" V
""I'm so sorry, I don't know - I'll have to reach out for the answer to that. I'll be in touch when I have that information."" L
""Okay let me know when you're able to find out please"" V"
"Pine St, APT 114, San Francisco, CA 94108",Pending,"""Hi Brittney, this is Riley. We spoke over the phone about the studio for rent at Pine St. You said your husband would be showing it at 3:30 right?"" L
""Yes! Will that work for you?"" L
""I think so, I'm still just waiting to get the okay from work. But before we actually confirm though, I wanted to ask if I would be able to use a Section 8 voucher here?"" V
""Hi, no. Sorry"" L"
"30th St, San Francisco, CA 94131",Inconclusive,"""Okay I think I should be able to make it then. Before we confirm though I also wanted to check to see if I could use a Section 8 voucher here?"" V
""Showings are open to everyone. You should come view that space tomorrow and see if it's a good fit for you."" L
""4 PM still works?"" V
""Would I need to make a certain income to qualify though?"" V
""Qualify for what?"" L
""You said you have a voucher.."" V
""Come look at the space and I can give you instructions to fill out an application, if you want to fill one out. All applications will be reviewed by all owners."" L
""I do have a voucher. I was just wondering if you would have any income requirement I would still need to meet?"" V"
"Irving St, San Francisco, CA 94122",Inconclusive,"""Hi Avery, this is Avery. We just spoke over the phone about the 2 bedroom for rent at Irving St. You said after 11 on Saturday would be best for you for a showing, correct?"" L
""I just spoke with my husband and he said that he would be there on Saturday starting at 10 AM, so please ring the buzzer when you arrive, and we look forward to meeting you soon, Avery and Sam"" V
""Okay sounds good. Before we actually confirm though I also meant to ask if we would be able to use a Section 8 voucher here?"" V
""Thank you for your reply. We have already received quite a bit of interest in this unit and if these applications fall through, I will reach out to you. Best wishes, Avery."" L"
"Wood St, APT 302, San Francisco, CA 94118",No Claim,"""Hi is this Cameron?"" V
""My name is Oscar and I was interested in the 2 bedroom apartment I saw for rent at 118 Wood St for 3600. Is it still available for viewing?"" V
""Yes, I have an open house Friday between 4:30-5. Would you be able to make it?"" L
""I think that could work for us, sure."" V
""Before we actually come view the place though I wanted to ask to see if we could use a Section 8 voucher here?"" V
""Yes"" L
""Fantastic! And would we need to make a certain income to qualify?"" V
""Oh for Section 8 it would be different, since housing is paying a portion of rent."" L
""Okay and how would the income requirement work for us since we have Section 8?"" V
""Not 100% positive but I would assume there would need to be some income. Does your voucher cover the entire rent?"" L
""Also no utilities are included. Tenants are responsible for water, garbage, and PGE."" L
""No, my voucher doesn't cover the full rent. We're supposed to pay 30% of our income towards the rent and the voucher is supposed to cover the rest. Our combined income was about 83,000 last year. Do you think we'd be able to qualify?"" V
""I think that should be fine."" L"
"Lombard St, San Francisco, CA 94111",Inconclusive,"""Hi Jake, this is Drew. We just spoke over the phone about the 2 bedroom at 152 Lombard St. It's looking like Sunday the 3rd might be the best day for us to do a viewing. What time might work for you?"" L
""Hi Drew. Can you give me 1 or 2 options that work so I can coordinate with the existing tenant? We should be pretty available."" V
""Okay hang on let me ask... Also, before we confirm a specific time I wanted to ask to see if we would be able to use a Section 8 voucher here?"" V
""I've never done that before but do not see any issue."" L
""Okay that great! Just figured I should ask. And would we need a certain income to qualify?"" V
""Hi Jake! Just following up about my previous question?"" V
""I am waiting to hear back from an attorney I used to work with for some information on Section 8. I cannot provide an answer until I speak with him as I don't know how it factors into our process."" L"
"Natoma St, APT 5, San Francisco, CA 94103",No Claim,"""Hi Liam, this is Sam. We just spoke over the phone about the 2 bedroom for rent at 460 Natoma St. Remind me again what time on Tuesday you said you would be able to show the place?"" L
""Can you do 5:30pm on Tuesday?"" L
""Let me check... Before we confirm though I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""Yes we can, everywhere is required to accept."" L
""Okay great that's good to know! And would we need to make a certain income to qualify?"" V
""Yes, and credit score. Income is 2.5 times and credit score of 700. However, we have worked with people below those lines before."" L
""Do you know how the income requirement would work since I have a voucher?"" V
""Likely we'd factor that into the income."" L"
"Clement St, San Francisco, CA 94121",No Claim,"""Hi Robin, this is Robin. We just spoke over the phone about the 3 bedroom at Clement St."" L
""You said you would be doing a showing tomorrow at 5:30, correct?"" V
""Correct"" L
""Got it. I'm still waiting to hear back from my wife if that would work for her. Before we confirm though I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""Yes, we accept Section 8"" L
""Great! And would we need to make a certain income to qualify?"" V
""We are seeking income of minimum 2.5x rent."" L
""Okay, and how would that work for us since we have the voucher?"" V
""The voucher will count towards your income."" L"
"Dolores St, San Francisco, CA 94110",Inconclusive,"""Hi Renee, this is Oscar. We just spoke over the phone about the 3 bedroom at Dolores St. You had said you might be able to show us the place around 5 tomorrow, correct?"" V
""I am meeting people between 2-5 PM tomorrow. Are you available before 5 PM?"" L
""Let me check and see... Before we actually confirm though, I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""Yes"" L
""Fantastic! And would we need a certain income in order to qualify?"" V"
"30th Ave, San Francisco, CA 94116",Inconclusive,"""Hi Eleanor, this is Oscar. We spoke over the phone about the 3 bedroom for rent at 30th Ave. You said you would be able to do a showing tomorrow at 11 correct?"" L
""Sorry I can't talk on the phone right now. Can we text?"" V
""Hi Oscar. Is it possible to change our appointment from 11:00am to 4:00pm? Thanks"" V
""Let me check... Before we actually confirm a time though, I wanted to ask if we would be able to use a Section 8 voucher here for this apartment?"" V
""So yes? Section 8 would be accepted?"" V
""Yes"" L
""Okay that's great! And would we need to make a certain income to qualify?"" V
""Hi Eleanor just following up about my previous question? We are an equal opportunity housing provider and we will consider all forms of income."" L"
